COMPOSITOR,QUANTIDADE_DO,QUANTIDADE_DO_SUST,QUANTIDADE_RE,QUANTIDADE_RE_SUST,QUANTIDADE_MI,QUANTIDADE_FA,QUANTIDADE_FA_SUST,QUANTIDADE_SOL,QUANTIDADE_SOL_SUST,QUANTIDADE_LA,QUANTIDADE_LA_SUST,QUANTIDADE_SI,MEDIA_INTERVALOS,MEDIA_CONTORNO,2_NOTAS_SEGUIDAS,3_NOTAS_SEGUIDAS,MEDIA_DURACAO_NOTAS,MEDIA_DURACAO_PAUSAS,INT_HARM_1,INT_HARM_2,INT_HARM_3,INT_HARM_4,INT_HARM_5,INT_HARM_6,INT_HARM_7,INT_HARM_8,INT_HARM_9,INT_HARM_10,INT_HARM_11,INT_HARM_12,NOTA_DURACAO_<0.5,NOTA_DURACAO_0.5-1,NOTA_DURACAO_1-2,NOTA_DURACAO_2-4,NOTA_DURACAO_>4,PAUSA_DURACAO_<0.5,PAUSA_DURACAO_0.5-1,PAUSA_DURACAO_1-2,PAUSA_DURACAO_2-4,PAUSA_DURACAO_>4
Johann Sebastian Bach,55,8,107,46,21,38,44,97,6,75,87,1,-0.006779661016949152,-0.13389830508474576,1,0,1.0,1.5068493150684932,3,31,109,116,98,44,125,93,113,57,15,136,2,366,100,101,22,0,26,21,17,9
Johann Sebastian Bach,313,118,554,31,433,51,378,516,38,516,39,457,0.0010545742156604272,-0.09781175850250462,24,8,0.41304252328237573,1.2961847389558232,22,94,450,294,482,171,464,329,473,259,48,500,2423,1044,261,58,8,79,131,80,95,30
Johann Sebastian Bach,115,61,248,12,221,185,56,220,28,257,88,88,0.0,-0.019524100061012812,37,9,1.2421747967479675,1.3092665356908972,42,66,286,236,176,119,315,183,296,102,29,284,99,932,296,247,66,775,349,73,62,268
Johann Sebastian Bach,205,83,322,25,300,40,216,288,31,314,21,266,0.004025044722719142,-0.06976744186046512,30,8,0.4059752644911342,1.0032828282828294,21,82,219,146,226,99,327,182,230,160,37,369,1406,738,71,18,4,140,91,44,25,30
Johann Sebastian Bach,191,90,330,30,264,204,44,222,63,398,136,113,-0.005834305717619603,-0.11474134577985219,92,10,0.5143532918610675,1.4606188466947971,54,97,447,279,385,201,519,307,507,191,46,600,1029,1366,91,77,9,268,220,192,78,190
Johann Sebastian Bach,764,39,598,612,45,595,46,776,336,143,267,282,-0.0023432923257176333,-0.05584846709627026,65,4,0.4495151633476506,1.1165376216001601,91,265,627,589,532,320,734,649,910,335,122,984,3253,1451,368,50,0,696,345,179,458,1
Johann Sebastian Bach,21,0,33,0,18,0,18,32,0,20,0,21,-0.07407407407407407,-0.2654320987654321,17,0,1.1748466257668713,2.4166666666666665,2,0,57,44,30,13,23,20,38,5,0,52,0,23,112,22,6,0,5,10,0,15
Johann Sebastian Bach,739,113,642,858,45,814,32,773,518,202,751,78,0.0019656019656019656,-0.029647829647829648,128,36,0.7988999890817773,2.145522388059702,64,380,912,777,925,400,1122,692,984,609,163,1088,2617,1465,1207,687,130,128,159,262,180,209
Johann Sebastian Bach,52,3,48,37,12,29,9,34,10,24,0,41,0.04411764705882353,-0.020588235294117647,15,3,0.5161290322580646,0.9655172413793103,27,27,37,15,18,21,29,36,24,9,3,21,206,70,57,6,2,6,16,0,6,1
Johann Sebastian Bach,55,3,36,41,9,36,3,60,26,18,12,24,-0.01524390243902439,0.018292682926829267,4,0,0.44376899696048633,0.43478260869565216,5,26,34,45,29,35,34,26,39,15,12,36,205,86,35,0,3,13,9,0,1,0
